# HoneyChain Honey Quality Screening Development Dataset v1
# Note: Development/demo dataset — not representative of production field performance.
# Features: moisture (%), ph, hmf (mg/kg), c4_sugars (%)
# Target Label: 0 = PASS (PURE), 1 = REVIEW (ELEVATED_MOISTURE / PARAMETER_DRIFT), 2 = ANOMALY (ADULTERATED)
moisture,ph,hmf,c4_sugars,label
16.5,3.8,12.0,1.2,0
17.0,4.1,15.5,2.0,0
15.8,3.9,8.5,0.8,0
16.2,4.0,10.2,1.5,0
17.2,4.2,18.0,2.5,0
16.8,3.7,14.0,1.8,0
15.5,4.0,9.0,1.0,0
16.0,3.9,11.5,1.1,0
18.5,4.4,25.0,3.5,1
18.8,4.3,28.0,4.2,1
19.2,3.3,32.0,5.0,1
19.5,4.6,35.0,6.0,1
18.2,3.2,22.0,3.8,1
22.5,4.8,55.0,12.5,2
23.8,5.1,68.0,15.2,2
21.5,4.9,48.0,10.0,2
24.0,5.2,75.0,18.0,2
22.0,4.7,52.0,11.5,2
