# HoneyChain Telemetry Anomaly Development Dataset v1
# Note: Development/demo dataset — not representative of production field performance.
# Features: temperature (°C), humidity (%), soundLevel (Hz), temp_delta (°C)
# Target Label: 0 = NORMAL, 1 = WARNING, 2 = CRITICAL
temperature,humidity,soundLevel,temp_delta,label
34.5,55.0,230.0,0.2,0
35.0,58.0,240.0,0.1,0
34.0,52.0,225.0,-0.1,0
35.2,56.0,235.0,0.3,0
34.8,60.0,228.0,-0.2,0
35.5,54.0,245.0,0.4,0
34.1,51.0,222.0,-0.3,0
33.8,64.0,226.0,-0.5,0
35.9,59.0,238.0,0.6,0
34.3,53.0,232.0,0.0,0
32.5,45.0,220.0,-1.5,1
37.0,68.0,218.0,1.8,1
33.0,72.0,215.0,-1.2,1
36.8,42.0,214.0,1.5,1
32.8,75.0,210.0,-1.4,1
39.2,78.0,205.0,3.2,2
40.5,82.0,198.0,4.1,2
30.0,38.0,190.0,-4.5,2
39.8,76.0,202.0,3.8,2
41.0,85.0,195.0,4.8,2
